Time(ms),ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,roll_deg,pitch_deg,yaw_deg
317237,-0.1433,0.5027,0.8723,0.229,0.664,-0.130,29.966,8.127,108.509
317250,-0.1355,0.5027,0.8774,0.206,0.481,0.000,29.927,7.995,108.506
317263,-0.1355,0.5062,0.8754,0.153,0.328,-0.069,29.972,7.856,108.513
317276,-0.1426,0.4988,0.8771,0.412,0.557,0.000,29.855,7.929,108.500
317289,-0.1313,0.5020,0.8823,0.122,0.519,0.206,29.805,7.800,108.498
317302,-0.1433,0.5047,0.8762,0.244,0.595,-0.076,29.874,7.933,108.510
317315,-0.1406,0.5020,0.8752,0.397,0.473,-0.115,29.745,7.946,108.494
317328,-0.1350,0.5025,0.8766,0.084,0.489,0.061,29.780,7.806,108.502
317341,-0.1362,0.4993,0.8784,0.252,0.420,0.084,29.676,7.726,108.491
317354,-0.1394,0.5035,0.8786,0.053,0.565,-0.115,29.783,7.819,108.508
317367,-0.1384,0.5054,0.8776,-0.015,0.496,-0.069,29.916,7.794,108.528
317380,-0.1401,0.5025,0.8762,0.466,0.565,-0.229,29.833,7.918,108.517
317393,-0.1355,0.5042,0.8793,0.466,0.611,0.008,29.838,7.777,108.521
317406,-0.1392,0.5064,0.8793,0.252,0.282,0.076,29.969,7.820,108.541
317419,-0.1401,0.5047,0.8635,0.420,0.435,0.107,30.097,7.881,108.562
317432,-0.1399,0.4981,0.8769,0.176,0.527,-0.076,29.965,7.892,108.546
317445,-0.1436,0.5020,0.8705,0.267,0.840,-0.183,29.972,8.050,108.550
317458,-0.1335,0.5008,0.8808,0.359,0.458,-0.053,29.901,7.938,108.542
317471,-0.1350,0.5047,0.8737,0.130,0.458,-0.061,29.953,7.803,108.551
317484,-0.1406,0.5025,0.8759,0.229,0.679,-0.053,29.860,7.920,108.541
317497,-0.1375,0.5045,0.8766,-0.008,0.702,0.053,29.906,7.786,108.553
317510,-0.1382,0.5018,0.8859,0.527,0.435,0.008,29.781,7.771,108.538
317523,-0.1399,0.4984,0.8740,0.061,0.756,-0.160,29.705,7.907,108.530
317536,-0.1416,0.5040,0.8759,0.252,0.656,-0.069,29.836,7.957,108.551
317549,-0.1440,0.4998,0.8749,-0.023,0.527,-0.023,29.765,8.093,108.545
317562,-0.1353,0.5001,0.8757,0.382,0.473,-0.137,29.758,7.952,108.545
317575,-0.1328,0.5047,0.8732,0.198,0.786,0.244,29.838,7.833,108.563
317588,-0.1404,0.5052,0.8813,0.336,0.603,0.038,29.786,7.977,108.559
